"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"218","0.079","0.079","0.079","0.2","0.2","0.2","0.191","0.191","0.191","0.298","0.298","0.298","0.367","0.367","0.367","0.382","0.382","0.382","0.539","0.539","0.539"
"219","0.061","0.061","0.061","0.173","0.173","0.173","0.184","0.184","0.184","0.256","0.256","0.256","0.384","0.384","0.384","0.385","0.385","0.385","0.527","0.527","0.527"
"220","0.081","0.081","0.081","0.185","0.185","0.185","0.194","0.194","0.194","0.247","0.247","0.247","0.39","0.39","0.39","0.412","0.412","0.412","0.55","0.55","0.55"
"221","0.089","0.089","0.089","0.165","0.165","0.165","0.194","0.194","0.194","0.247","0.247","0.247","0.372","0.372","0.372","0.398","0.398","0.398","0.509","0.509","0.509"
"222","0.071","0.071","0.071","0.157","0.157","0.157","0.192","0.192","0.192","0.308","0.308","0.308","0.377","0.377","0.377","0.408","0.408","0.408","0.554","0.554","0.554"
"223","0.092","0.092","0.092","0.212","0.212","0.212","0.199","0.199","0.199","0.283","0.283","0.283","0.354","0.354","0.354","0.406","0.406","0.406","0.548","0.548","0.548"
"224","0.069","0.069","0.069","0.189","0.189","0.189","0.181","0.181","0.181","0.285","0.285","0.285","0.395","0.395","0.395","0.381","0.381","0.381","0.556","0.556","0.556"
"225","0.068","0.068","0.068","0.193","0.193","0.193","0.182","0.182","0.182","0.257","0.257","0.257","0.395","0.395","0.395","0.401","0.401","0.401","0.567","0.567","0.567"
"226","0.124","0.124","0.124","0.194","0.194","0.194","0.197","0.197","0.197","0.272","0.272","0.272","0.391","0.391","0.391","0.409","0.409","0.409","0.53","0.53","0.53"
"227","0.086","0.086","0.086","0.181","0.181","0.181","0.214","0.214","0.214","0.314","0.314","0.314","0.391","0.391","0.391","0.395","0.395","0.395","0.55","0.55","0.55"
"228","0.094","0.094","0.094","0.19","0.19","0.19","0.195","0.195","0.195","0.266","0.266","0.266","0.381","0.381","0.381","0.414","0.414","0.414","0.538","0.538","0.538"
"229","0.081","0.081","0.081","0.22","0.22","0.22","0.207","0.207","0.207","0.347","0.347","0.347","0.433","0.433","0.433","0.429","0.429","0.429","0.565","0.565","0.565"
"230","0.078","0.078","0.078","0.213","0.213","0.213","0.201","0.201","0.201","0.343","0.343","0.343","0.414","0.414","0.414","0.423","0.423","0.423","0.549","0.549","0.549"
"231","0.067","0.067","0.067","0.196","0.196","0.196","0.201","0.201","0.201","0.249","0.249","0.249","0.403","0.403","0.403","0.408","0.408","0.408","0.516","0.516","0.516"
"232","0.065","0.065","0.065","0.195","0.195","0.195","0.196","0.196","0.196","0.232","0.232","0.232","0.385","0.385","0.385","0.425","0.425","0.425","0.538","0.538","0.538"
"233","0.126","0.126","0.126","0.175","0.175","0.175","0.214","0.214","0.214","0.275","0.275","0.275","0.412","0.412","0.412","0.428","0.428","0.428","0.555","0.555","0.555"
"234","0.101","0.101","0.101","0.184","0.184","0.184","0.204","0.204","0.204","0.297","0.297","0.297","0.384","0.384","0.384","0.42","0.42","0.42","0.539","0.539","0.539"
"235","0.1","0.1","0.1","0.196","0.196","0.196","0.194","0.194","0.194","0.256","0.256","0.256","0.4","0.4","0.4","0.421","0.421","0.421","0.532","0.532","0.532"
"236","0.117","0.117","0.117","0.203","0.203","0.203","0.174","0.174","0.174","0.293","0.293","0.293","0.397","0.397","0.397","0.435","0.435","0.435","0.549","0.549","0.549"
"237","0.071","0.071","0.071","0.194","0.194","0.194","0.209","0.209","0.209","0.282","0.282","0.282","0.397","0.397","0.397","0.429","0.429","0.429","0.549","0.549","0.549"
"238","0.115","0.115","0.115","0.207","0.207","0.207","0.206","0.206","0.206","0.254","0.254","0.254","0.431","0.431","0.431","0.422","0.422","0.422","0.535","0.535","0.535"
"239","0.1","0.1","0.1","0.194","0.194","0.194","0.218","0.218","0.218","0.275","0.275","0.275","0.398","0.398","0.398","0.393","0.393","0.393","0.538","0.538","0.538"
"240","0.079","0.079","0.079","0.198","0.198","0.198","0.189","0.189","0.189","0.239","0.239","0.239","0.437","0.437","0.437","0.442","0.442","0.442","0.565","0.565","0.565"
"241","0.127","0.127","0.127","0.211","0.211","0.211","0.215","0.215","0.215","0.272","0.272","0.272","0.415","0.415","0.415","0.439","0.439","0.439","0.571","0.571","0.571"
"242","0.086","0.086","0.086","0.208","0.208","0.208","0.192","0.192","0.192","0.255","0.255","0.255","0.409","0.409","0.409","0.426","0.426","0.426","0.578","0.578","0.578"
"243","0.132","0.132","0.132","0.201","0.201","0.201","0.209","0.209","0.209","0.29","0.29","0.29","0.373","0.373","0.373","0.414","0.414","0.414","0.534","0.534","0.534"
"244","0.09","0.09","0.09","0.18","0.18","0.18","0.214","0.214","0.214","0.303","0.303","0.303","0.402","0.402","0.402","0.419","0.419","0.419","0.533","0.533","0.533"
"245","0.07","0.07","0.07","0.215","0.215","0.215","0.212","0.212","0.212","0.244","0.244","0.244","0.445","0.445","0.445","0.435","0.435","0.435","0.506","0.506","0.506"
"246","0.106","0.106","0.106","0.214","0.214","0.214","0.188","0.188","0.188","0.268","0.268","0.268","0.394","0.394","0.394","0.418","0.418","0.418","0.547","0.547","0.547"
"247","0.099","0.099","0.099","0.225","0.225","0.225","0.199","0.199","0.199","0.292","0.292","0.292","0.386","0.386","0.386","0.437","0.437","0.437","0.547","0.547","0.547"
"248","0.095","0.095","0.095","0.217","0.217","0.217","0.214","0.214","0.214","0.282","0.282","0.282","0.422","0.422","0.422","0.414","0.414","0.414","0.533","0.533","0.533"
"249","0.123","0.123","0.123","0.215","0.215","0.215","0.196","0.196","0.196","0.261","0.261","0.261","0.417","0.417","0.417","0.414","0.414","0.414","0.503","0.503","0.503"
"250","0.065","0.065","0.065","0.228","0.228","0.228","0.22","0.22","0.22","0.278","0.278","0.278","0.43","0.43","0.43","0.415","0.415","0.415","0.54","0.54","0.54"
"251","0.091","0.091","0.091","0.204","0.204","0.204","0.227","0.227","0.227","0.24","0.24","0.24","0.403","0.403","0.403","0.454","0.454","0.454","0.542","0.542","0.542"
"252","0.121","0.121","0.121","0.209","0.209","0.209","0.23","0.23","0.23","0.278","0.278","0.278","0.405","0.405","0.405","0.437","0.437","0.437","0.558","0.558","0.558"
"253","0.081","0.081","0.081","0.226","0.226","0.226","0.202","0.202","0.202","0.278","0.278","0.278","0.41","0.41","0.41","0.453","0.453","0.453","0.532","0.532","0.532"
"254","0.107","0.107","0.107","0.199","0.199","0.199","0.217","0.217","0.217","0.275","0.275","0.275","0.406","0.406","0.406","0.453","0.453","0.453","0.57","0.57","0.57"
"255","0.105","0.105","0.105","0.235","0.235","0.235","0.226","0.226","0.226","0.34","0.34","0.34","0.442","0.442","0.442","0.44","0.44","0.44","0.554","0.554","0.554"
"256","0.084","0.084","0.084","0.231","0.231","0.231","0.223","0.223","0.223","0.313","0.313","0.313","0.426","0.426","0.426","0.457","0.457","0.457","0.552","0.552","0.552"
"257","0.115","0.115","0.115","0.219","0.219","0.219","0.205","0.205","0.205","0.248","0.248","0.248","0.42","0.42","0.42","0.439","0.439","0.439","0.541","0.541","0.541"
"258","0.063","0.063","0.063","0.208","0.208","0.208","0.227","0.227","0.227","0.266","0.266","0.266","0.431","0.431","0.431","0.449","0.449","0.449","0.527","0.527","0.527"
"259","0.09","0.09","0.09","0.253","0.253","0.253","0.232","0.232","0.232","0.287","0.287","0.287","0.443","0.443","0.443","0.463","0.463","0.463","0.557","0.557","0.557"
"260","0.145","0.145","0.145","0.231","0.231","0.231","0.235","0.235","0.235","0.229","0.229","0.229","0.434","0.434","0.434","0.467","0.467","0.467","0.544","0.544","0.544"
"261","0.123","0.123","0.123","0.196","0.196","0.196","0.234","0.234","0.234","0.323","0.323","0.323","0.431","0.431","0.431","0.444","0.444","0.444","0.546","0.546","0.546"
"262","0.078","0.078","0.078","0.208","0.208","0.208","0.224","0.224","0.224","0.301","0.301","0.301","0.431","0.431","0.431","0.467","0.467","0.467","0.545","0.545","0.545"
"263","0.102","0.102","0.102","0.213","0.213","0.213","0.218","0.218","0.218","0.353","0.353","0.353","0.426","0.426","0.426","0.427","0.427","0.427","0.55","0.55","0.55"
"264","0.082","0.082","0.082","0.209","0.209","0.209","0.233","0.233","0.233","0.335","0.335","0.335","0.446","0.446","0.446","0.425","0.425","0.425","0.52","0.52","0.52"
"265","0.081","0.081","0.081","0.236","0.236","0.236","0.229","0.229","0.229","0.298","0.298","0.298","0.428","0.428","0.428","0.448","0.448","0.448","0.549","0.549","0.549"
"266","0.118","0.118","0.118","0.244","0.244","0.244","0.246","0.246","0.246","0.359","0.359","0.359","0.43","0.43","0.43","0.443","0.443","0.443","0.569","0.569","0.569"
"267","0.1","0.1","0.1","0.22","0.22","0.22","0.234","0.234","0.234","0.343","0.343","0.343","0.413","0.413","0.413","0.445","0.445","0.445","0.538","0.538","0.538"
"268","0.084","0.084","0.084","0.217","0.217","0.217","0.23","0.23","0.23","0.39","0.39","0.39","0.424","0.424","0.424","0.454","0.454","0.454","0.545","0.545","0.545"
"269","0.106","0.106","0.106","0.251","0.251","0.251","0.224","0.224","0.224","0.327","0.327","0.327","0.472","0.472","0.472","0.448","0.448","0.448","0.538","0.538","0.538"
"270","0.093","0.093","0.093","0.226","0.226","0.226","0.221","0.221","0.221","0.305","0.305","0.305","0.449","0.449","0.449","0.439","0.439","0.439","0.578","0.578","0.578"
"271","0.132","0.132","0.132","0.251","0.251","0.251","0.229","0.229","0.229","0.344","0.344","0.344","0.452","0.452","0.452","0.471","0.471","0.471","0.549","0.549","0.549"
"272","0.099","0.099","0.099","0.228","0.228","0.228","0.216","0.216","0.216","0.289","0.289","0.289","0.443","0.443","0.443","0.444","0.444","0.444","0.538","0.538","0.538"
"273","0.098","0.098","0.098","0.214","0.214","0.214","0.217","0.217","0.217","0.335","0.335","0.335","0.441","0.441","0.441","0.469","0.469","0.469","0.535","0.535","0.535"
"274","0.102","0.102","0.102","0.248","0.248","0.248","0.24","0.24","0.24","0.281","0.281","0.281","0.453","0.453","0.453","0.465","0.465","0.465","0.555","0.555","0.555"
"275","0.115","0.115","0.115","0.233","0.233","0.233","0.206","0.206","0.206","0.308","0.308","0.308","0.457","0.457","0.457","0.46","0.46","0.46","0.548","0.548","0.548"
"276","0.128","0.128","0.128","0.262","0.262","0.262","0.241","0.241","0.241","0.368","0.368","0.368","0.464","0.464","0.464","0.452","0.452","0.452","0.554","0.554","0.554"
"277","0.064","0.064","0.064","0.236","0.236","0.236","0.248","0.248","0.248","0.362","0.362","0.362","0.459","0.459","0.459","0.499","0.499","0.499","0.559","0.559","0.559"
"278","0.091","0.091","0.091","0.227","0.227","0.227","0.243","0.243","0.243","0.355","0.355","0.355","0.442","0.442","0.442","0.467","0.467","0.467","0.562","0.562","0.562"
"279","0.081","0.081","0.081","0.248","0.248","0.248","0.253","0.253","0.253","0.302","0.302","0.302","0.45","0.45","0.45","0.492","0.492","0.492","0.543","0.543","0.543"
"280","0.12","0.12","0.12","0.232","0.232","0.232","0.246","0.246","0.246","0.293","0.293","0.293","0.477","0.477","0.477","0.462","0.462","0.462","0.541","0.541","0.541"
"281","0.103","0.103","0.103","0.265","0.265","0.265","0.256","0.256","0.256","0.295","0.295","0.295","0.474","0.474","0.474","0.472","0.472","0.472","0.547","0.547","0.547"
"282","0.142","0.142","0.142","0.258","0.258","0.258","0.242","0.242","0.242","0.306","0.306","0.306","0.447","0.447","0.447","0.475","0.475","0.475","0.575","0.575","0.575"
"283","0.121","0.121","0.121","0.256","0.256","0.256","0.261","0.261","0.261","0.41","0.41","0.41","0.439","0.439","0.439","0.489","0.489","0.489","0.548","0.548","0.548"
"284","0.078","0.078","0.078","0.243","0.243","0.243","0.241","0.241","0.241","0.321","0.321","0.321","0.434","0.434","0.434","0.476","0.476","0.476","0.551","0.551","0.551"
"285","0.085","0.085","0.085","0.258","0.258","0.258","0.251","0.251","0.251","0.311","0.311","0.311","0.451","0.451","0.451","0.483","0.483","0.483","0.558","0.558","0.558"
"286","0.124","0.124","0.124","0.248","0.248","0.248","0.231","0.231","0.231","0.328","0.328","0.328","0.446","0.446","0.446","0.46","0.46","0.46","0.557","0.557","0.557"
"287","0.12","0.12","0.12","0.26","0.26","0.26","0.225","0.225","0.225","0.283","0.283","0.283","0.459","0.459","0.459","0.472","0.472","0.472","0.545","0.545","0.545"
"288","0.107","0.107","0.107","0.257","0.257","0.257","0.255","0.255","0.255","0.33","0.33","0.33","0.449","0.449","0.449","0.456","0.456","0.456","0.551","0.551","0.551"
"289","0.092","0.092","0.092","0.244","0.244","0.244","0.251","0.251","0.251","0.367","0.367","0.367","0.471","0.471","0.471","0.477","0.477","0.477","0.543","0.543","0.543"
"290","0.098","0.098","0.098","0.24","0.24","0.24","0.275","0.275","0.275","0.373","0.373","0.373","0.436","0.436","0.436","0.486","0.486","0.486","0.551","0.551","0.551"
"291","0.13","0.13","0.13","0.251","0.251","0.251","0.254","0.254","0.254","0.349","0.349","0.349","0.454","0.454","0.454","0.484","0.484","0.484","0.56","0.56","0.56"
"292","0.099","0.099","0.099","0.243","0.243","0.243","0.262","0.262","0.262","0.344","0.344","0.344","0.467","0.467","0.467","0.523","0.523","0.523","0.568","0.568","0.568"
"293","0.079","0.079","0.079","0.244","0.244","0.244","0.24","0.24","0.24","0.327","0.327","0.327","0.446","0.446","0.446","0.503","0.503","0.503","0.563","0.563","0.563"
"294","0.129","0.129","0.129","0.269","0.269","0.269","0.276","0.276","0.276","0.388","0.388","0.388","0.472","0.472","0.472","0.484","0.484","0.484","0.564","0.564","0.564"
"295","0.106","0.106","0.106","0.252","0.252","0.252","0.256","0.256","0.256","0.397","0.397","0.397","0.454","0.454","0.454","0.488","0.488","0.488","0.549","0.549","0.549"
"296","0.126","0.126","0.126","0.264","0.264","0.264","0.262","0.262","0.262","0.303","0.303","0.303","0.441","0.441","0.441","0.464","0.464","0.464","0.584","0.584","0.584"
"297","0.106","0.106","0.106","0.265","0.265","0.265","0.243","0.243","0.243","0.386","0.386","0.386","0.466","0.466","0.466","0.462","0.462","0.462","0.547","0.547","0.547"
"298","0.105","0.105","0.105","0.258","0.258","0.258","0.264","0.264","0.264","0.278","0.278","0.278","0.433","0.433","0.433","0.475","0.475","0.475","0.561","0.561","0.561"
"299","0.117","0.117","0.117","0.251","0.251","0.251","0.284","0.284","0.284","0.395","0.395","0.395","0.466","0.466","0.466","0.48","0.48","0.48","0.534","0.534","0.534"
"300","0.105","0.105","0.105","0.279","0.279","0.279","0.268","0.268","0.268","0.314","0.314","0.314","0.461","0.461","0.461","0.49","0.49","0.49","0.55","0.55","0.55"
"301","0.074","0.074","0.074","0.269","0.269","0.269","0.244","0.244","0.244","0.312","0.312","0.312","0.44","0.44","0.44","0.468","0.468","0.468","0.562","0.562","0.562"
"302","0.121","0.121","0.121","0.285","0.285","0.285","0.23","0.23","0.23","0.333","0.333","0.333","0.474","0.474","0.474","0.498","0.498","0.498","0.559","0.559","0.559"
"303","0.103","0.103","0.103","0.275","0.275","0.275","0.261","0.261","0.261","0.342","0.342","0.342","0.453","0.453","0.453","0.471","0.471","0.471","0.535","0.535","0.535"
"304","0.121","0.121","0.121","0.271","0.271","0.271","0.273","0.273","0.273","0.35","0.35","0.35","0.451","0.451","0.451","0.493","0.493","0.493","0.541","0.541","0.541"
"305","0.117","0.117","0.117","0.253","0.253","0.253","0.288","0.288","0.288","0.314","0.314","0.314","0.45","0.45","0.45","0.476","0.476","0.476","0.571","0.571","0.571"
"306","0.094","0.094","0.094","0.286","0.286","0.286","0.266","0.266","0.266","0.33","0.33","0.33","0.488","0.488","0.488","0.482","0.482","0.482","0.545","0.545","0.545"
"307","0.104","0.104","0.104","0.267","0.267","0.267","0.269","0.269","0.269","0.421","0.421","0.421","0.48","0.48","0.48","0.497","0.497","0.497","0.54","0.54","0.54"
"308","0.117","0.117","0.117","0.247","0.247","0.247","0.275","0.275","0.275","0.33","0.33","0.33","0.463","0.463","0.463","0.48","0.48","0.48","0.52","0.52","0.52"
"309","0.129","0.129","0.129","0.258","0.258","0.258","0.258","0.258","0.258","0.371","0.371","0.371","0.467","0.467","0.467","0.487","0.487","0.487","0.549","0.549","0.549"
"310","0.113","0.113","0.113","0.27","0.27","0.27","0.271","0.271","0.271","0.41","0.41","0.41","0.461","0.461","0.461","0.455","0.455","0.455","0.538","0.538","0.538"
"311","0.091","0.091","0.091","0.284","0.284","0.284","0.238","0.238","0.238","0.296","0.296","0.296","0.48","0.48","0.48","0.467","0.467","0.467","0.544","0.544","0.544"
"312","0.097","0.097","0.097","0.284","0.284","0.284","0.257","0.257","0.257","0.398","0.398","0.398","0.459","0.459","0.459","0.517","0.517","0.517","0.563","0.563","0.563"
"313","0.156","0.156","0.156","0.28","0.28","0.28","0.252","0.252","0.252","0.372","0.372","0.372","0.487","0.487","0.487","0.489","0.489","0.489","0.549","0.549","0.549"
"314","0.1","0.1","0.1","0.302","0.302","0.302","0.264","0.264","0.264","0.371","0.371","0.371","0.529","0.529","0.529","0.498","0.498","0.498","0.571","0.571","0.571"
"315","0.099","0.099","0.099","0.311","0.311","0.311","0.261","0.261","0.261","0.387","0.387","0.387","0.506","0.506","0.506","0.509","0.509","0.509","0.561","0.561","0.561"
"316","0.154","0.154","0.154","0.259","0.259","0.259","0.271","0.271","0.271","0.317","0.317","0.317","0.476","0.476","0.476","0.499","0.499","0.499","0.547","0.547","0.547"
"317","0.092","0.092","0.092","0.276","0.276","0.276","0.278","0.278","0.278","0.394","0.394","0.394","0.474","0.474","0.474","0.502","0.502","0.502","0.55","0.55","0.55"
"318","0.113","0.113","0.113","0.287","0.287","0.287","0.269","0.269","0.269","0.325","0.325","0.325","0.449","0.449","0.449","0.498","0.498","0.498","0.547","0.547","0.547"
"319","0.112","0.112","0.112","0.308","0.308","0.308","0.283","0.283","0.283","0.368","0.368","0.368","0.455","0.455","0.455","0.5","0.5","0.5","0.569","0.569","0.569"
"320","0.151","0.151","0.151","0.267","0.267","0.267","0.292","0.292","0.292","0.315","0.315","0.315","0.453","0.453","0.453","0.511","0.511","0.511","0.542","0.542","0.542"
"321","0.098","0.098","0.098","0.295","0.295","0.295","0.259","0.259","0.259","0.401","0.401","0.401","0.456","0.456","0.456","0.497","0.497","0.497","0.554","0.554","0.554"
"322","0.143","0.143","0.143","0.276","0.276","0.276","0.252","0.252","0.252","0.354","0.354","0.354","0.482","0.482","0.482","0.489","0.489","0.489","0.544","0.544","0.544"
"323","0.121","0.121","0.121","0.283","0.283","0.283","0.251","0.251","0.251","0.448","0.448","0.448","0.483","0.483","0.483","0.503","0.503","0.503","0.545","0.545","0.545"
"324","0.128","0.128","0.128","0.286","0.286","0.286","0.277","0.277","0.277","0.385","0.385","0.385","0.454","0.454","0.454","0.463","0.463","0.463","0.519","0.519","0.519"
"325","0.146","0.146","0.146","0.267","0.267","0.267","0.27","0.27","0.27","0.332","0.332","0.332","0.475","0.475","0.475","0.498","0.498","0.498","0.545","0.545","0.545"
"326","0.16","0.16","0.16","0.273","0.273","0.273","0.245","0.245","0.245","0.334","0.334","0.334","0.452","0.452","0.452","0.501","0.501","0.501","0.575","0.575","0.575"
"327","0.152","0.152","0.152","0.304","0.304","0.304","0.279","0.279","0.279","0.353","0.353","0.353","0.463","0.463","0.463","0.502","0.502","0.502","0.549","0.549","0.549"
"328","0.139","0.139","0.139","0.3","0.3","0.3","0.279","0.279","0.279","0.401","0.401","0.401","0.467","0.467","0.467","0.525","0.525","0.525","0.555","0.555","0.555"
"329","0.142","0.142","0.142","0.303","0.303","0.303","0.279","0.279","0.279","0.369","0.369","0.369","0.468","0.468","0.468","0.49","0.49","0.49","0.54","0.54","0.54"
"330","0.145","0.145","0.145","0.295","0.295","0.295","0.295","0.295","0.295","0.368","0.368","0.368","0.484","0.484","0.484","0.487","0.487","0.487","0.543","0.543","0.543"
"331","0.114","0.114","0.114","0.316","0.316","0.316","0.266","0.266","0.266","0.392","0.392","0.392","0.509","0.509","0.509","0.523","0.523","0.523","0.52","0.52","0.52"
"332","0.181","0.181","0.181","0.33","0.33","0.33","0.274","0.274","0.274","0.395","0.395","0.395","0.506","0.506","0.506","0.505","0.505","0.505","0.561","0.561","0.561"
"333","0.14","0.14","0.14","0.265","0.265","0.265","0.271","0.271","0.271","0.422","0.422","0.422","0.446","0.446","0.446","0.512","0.512","0.512","0.542","0.542","0.542"
"334","0.144","0.144","0.144","0.305","0.305","0.305","0.274","0.274","0.274","0.326","0.326","0.326","0.472","0.472","0.472","0.506","0.506","0.506","0.554","0.554","0.554"
"335","0.153","0.153","0.153","0.319","0.319","0.319","0.261","0.261","0.261","0.391","0.391","0.391","0.493","0.493","0.493","0.515","0.515","0.515","0.553","0.553","0.553"
"336","0.178","0.178","0.178","0.293","0.293","0.293","0.288","0.288","0.288","0.405","0.405","0.405","0.523","0.523","0.523","0.485","0.485","0.485","0.541","0.541","0.541"
"337","0.138","0.138","0.138","0.303","0.303","0.303","0.274","0.274","0.274","0.428","0.428","0.428","0.497","0.497","0.497","0.508","0.508","0.508","0.561","0.561","0.561"
"338","0.139","0.139","0.139","0.314","0.314","0.314","0.273","0.273","0.273","0.4","0.4","0.4","0.495","0.495","0.495","0.501","0.501","0.501","0.532","0.532","0.532"
"339","0.163","0.163","0.163","0.309","0.309","0.309","0.279","0.279","0.279","0.384","0.384","0.384","0.515","0.515","0.515","0.485","0.485","0.485","0.541","0.541","0.541"
"340","0.095","0.095","0.095","0.274","0.274","0.274","0.279","0.279","0.279","0.366","0.366","0.366","0.473","0.473","0.473","0.516","0.516","0.516","0.54","0.54","0.54"
"341","0.144","0.144","0.144","0.283","0.283","0.283","0.293","0.293","0.293","0.373","0.373","0.373","0.48","0.48","0.48","0.505","0.505","0.505","0.55","0.55","0.55"
"342","0.107","0.107","0.107","0.292","0.292","0.292","0.316","0.316","0.316","0.335","0.335","0.335","0.481","0.481","0.481","0.488","0.488","0.488","0.555","0.555","0.555"
"343","0.183","0.183","0.183","0.295","0.295","0.295","0.31","0.31","0.31","0.399","0.399","0.399","0.505","0.505","0.505","0.505","0.505","0.505","0.539","0.539","0.539"
"344","0.129","0.129","0.129","0.31","0.31","0.31","0.294","0.294","0.294","0.405","0.405","0.405","0.486","0.486","0.486","0.528","0.528","0.528","0.557","0.557","0.557"
"345","0.177","0.177","0.177","0.319","0.319","0.319","0.283","0.283","0.283","0.35","0.35","0.35","0.497","0.497","0.497","0.492","0.492","0.492","0.56","0.56","0.56"
"346","0.16","0.16","0.16","0.312","0.312","0.312","0.296","0.296","0.296","0.42","0.42","0.42","0.524","0.524","0.524","0.494","0.494","0.494","0.557","0.557","0.557"
"347","0.165","0.165","0.165","0.342","0.342","0.342","0.273","0.273","0.273","0.409","0.409","0.409","0.478","0.478","0.478","0.507","0.507","0.507","0.559","0.559","0.559"
"348","0.132","0.132","0.132","0.31","0.31","0.31","0.297","0.297","0.297","0.341","0.341","0.341","0.499","0.499","0.499","0.495","0.495","0.495","0.537","0.537","0.537"
"349","0.176","0.176","0.176","0.301","0.301","0.301","0.306","0.306","0.306","0.39","0.39","0.39","0.512","0.512","0.512","0.494","0.494","0.494","0.541","0.541","0.541"
"350","0.17","0.17","0.17","0.31","0.31","0.31","0.275","0.275","0.275","0.407","0.407","0.407","0.474","0.474","0.474","0.475","0.475","0.475","0.54","0.54","0.54"
"351","0.192","0.192","0.192","0.279","0.279","0.279","0.316","0.316","0.316","0.312","0.312","0.312","0.456","0.456","0.456","0.52","0.52","0.52","0.54","0.54","0.54"
"352","0.152","0.152","0.152","0.33","0.33","0.33","0.297","0.297","0.297","0.361","0.361","0.361","0.496","0.496","0.496","0.522","0.522","0.522","0.548","0.548","0.548"
"353","0.117","0.117","0.117","0.312","0.312","0.312","0.298","0.298","0.298","0.37","0.37","0.37","0.484","0.484","0.484","0.5","0.5","0.5","0.543","0.543","0.543"
"354","0.122","0.122","0.122","0.32","0.32","0.32","0.273","0.273","0.273","0.359","0.359","0.359","0.469","0.469","0.469","0.511","0.511","0.511","0.56","0.56","0.56"
"355","0.164","0.164","0.164","0.325","0.325","0.325","0.325","0.325","0.325","0.367","0.367","0.367","0.5","0.5","0.5","0.498","0.498","0.498","0.572","0.572","0.572"
"356","0.144","0.144","0.144","0.322","0.322","0.322","0.314","0.314","0.314","0.32","0.32","0.32","0.509","0.509","0.509","0.477","0.477","0.477","0.54","0.54","0.54"
"357","0.191","0.191","0.191","0.31","0.31","0.31","0.3","0.3","0.3","0.348","0.348","0.348","0.481","0.481","0.481","0.495","0.495","0.495","0.539","0.539","0.539"
"358","0.101","0.101","0.101","0.297","0.297","0.297","0.312","0.312","0.312","0.404","0.404","0.404","0.466","0.466","0.466","0.52","0.52","0.52","0.553","0.553","0.553"
"359","0.149","0.149","0.149","0.33","0.33","0.33","0.33","0.33","0.33","0.364","0.364","0.364","0.525","0.525","0.525","0.508","0.508","0.508","0.546","0.546","0.546"
"360","0.153","0.153","0.153","0.317","0.317","0.317","0.312","0.312","0.312","0.431","0.431","0.431","0.5","0.5","0.5","0.537","0.537","0.537","0.545","0.545","0.545"
"361","0.13","0.13","0.13","0.329","0.329","0.329","0.282","0.282","0.282","0.442","0.442","0.442","0.491","0.491","0.491","0.496","0.496","0.496","0.546","0.546","0.546"
"362","0.146","0.146","0.146","0.333","0.333","0.333","0.275","0.275","0.275","0.409","0.409","0.409","0.508","0.508","0.508","0.533","0.533","0.533","0.559","0.559","0.559"
"363","0.143","0.143","0.143","0.358","0.358","0.358","0.326","0.326","0.326","0.43","0.43","0.43","0.55","0.55","0.55","0.526","0.526","0.526","0.557","0.557","0.557"
