"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"220","0.194","0.194","0.194","0.185","0.185","0.185","0.081","0.081","0.081","0.55","0.55","0.55","0.412","0.412","0.412","0.39","0.39","0.39","0.247","0.247","0.247","0.526","0.526","0.526"
"221","0.194","0.194","0.194","0.165","0.165","0.165","0.089","0.089","0.089","0.509","0.509","0.509","0.398","0.398","0.398","0.372","0.372","0.372","0.247","0.247","0.247","0.539","0.539","0.539"
"222","0.192","0.192","0.192","0.157","0.157","0.157","0.071","0.071","0.071","0.554","0.554","0.554","0.408","0.408","0.408","0.377","0.377","0.377","0.308","0.308","0.308","0.534","0.534","0.534"
"223","0.199","0.199","0.199","0.212","0.212","0.212","0.092","0.092","0.092","0.548","0.548","0.548","0.406","0.406","0.406","0.354","0.354","0.354","0.283","0.283","0.283","0.51","0.51","0.51"
"224","0.181","0.181","0.181","0.189","0.189","0.189","0.069","0.069","0.069","0.556","0.556","0.556","0.381","0.381","0.381","0.395","0.395","0.395","0.285","0.285","0.285","0.483","0.483","0.483"
"225","0.182","0.182","0.182","0.193","0.193","0.193","0.068","0.068","0.068","0.567","0.567","0.567","0.401","0.401","0.401","0.395","0.395","0.395","0.257","0.257","0.257","0.541","0.541","0.541"
"226","0.197","0.197","0.197","0.194","0.194","0.194","0.124","0.124","0.124","0.53","0.53","0.53","0.409","0.409","0.409","0.391","0.391","0.391","0.272","0.272","0.272","0.555","0.555","0.555"
"227","0.214","0.214","0.214","0.181","0.181","0.181","0.086","0.086","0.086","0.55","0.55","0.55","0.395","0.395","0.395","0.391","0.391","0.391","0.314","0.314","0.314","0.557","0.557","0.557"
"228","0.195","0.195","0.195","0.19","0.19","0.19","0.094","0.094","0.094","0.538","0.538","0.538","0.414","0.414","0.414","0.381","0.381","0.381","0.266","0.266","0.266","0.525","0.525","0.525"
"229","0.207","0.207","0.207","0.22","0.22","0.22","0.081","0.081","0.081","0.565","0.565","0.565","0.429","0.429","0.429","0.433","0.433","0.433","0.347","0.347","0.347","0.52","0.52","0.52"
"230","0.201","0.201","0.201","0.213","0.213","0.213","0.078","0.078","0.078","0.549","0.549","0.549","0.423","0.423","0.423","0.414","0.414","0.414","0.343","0.343","0.343","0.53","0.53","0.53"
"231","0.201","0.201","0.201","0.196","0.196","0.196","0.067","0.067","0.067","0.516","0.516","0.516","0.408","0.408","0.408","0.403","0.403","0.403","0.249","0.249","0.249","0.538","0.538","0.538"
"232","0.196","0.196","0.196","0.195","0.195","0.195","0.065","0.065","0.065","0.538","0.538","0.538","0.425","0.425","0.425","0.385","0.385","0.385","0.232","0.232","0.232","0.516","0.516","0.516"
"233","0.214","0.214","0.214","0.175","0.175","0.175","0.126","0.126","0.126","0.555","0.555","0.555","0.428","0.428","0.428","0.412","0.412","0.412","0.275","0.275","0.275","0.548","0.548","0.548"
"234","0.204","0.204","0.204","0.184","0.184","0.184","0.101","0.101","0.101","0.539","0.539","0.539","0.42","0.42","0.42","0.384","0.384","0.384","0.297","0.297","0.297","0.551","0.551","0.551"
"235","0.194","0.194","0.194","0.196","0.196","0.196","0.1","0.1","0.1","0.532","0.532","0.532","0.421","0.421","0.421","0.4","0.4","0.4","0.256","0.256","0.256","0.516","0.516","0.516"
"236","0.174","0.174","0.174","0.203","0.203","0.203","0.117","0.117","0.117","0.549","0.549","0.549","0.435","0.435","0.435","0.397","0.397","0.397","0.293","0.293","0.293","0.542","0.542","0.542"
"237","0.209","0.209","0.209","0.194","0.194","0.194","0.071","0.071","0.071","0.549","0.549","0.549","0.429","0.429","0.429","0.397","0.397","0.397","0.282","0.282","0.282","0.516","0.516","0.516"
"238","0.206","0.206","0.206","0.207","0.207","0.207","0.115","0.115","0.115","0.535","0.535","0.535","0.422","0.422","0.422","0.431","0.431","0.431","0.254","0.254","0.254","0.534","0.534","0.534"
"239","0.218","0.218","0.218","0.194","0.194","0.194","0.1","0.1","0.1","0.538","0.538","0.538","0.393","0.393","0.393","0.398","0.398","0.398","0.275","0.275","0.275","0.534","0.534","0.534"
"240","0.189","0.189","0.189","0.198","0.198","0.198","0.079","0.079","0.079","0.565","0.565","0.565","0.442","0.442","0.442","0.437","0.437","0.437","0.239","0.239","0.239","0.543","0.543","0.543"
"241","0.215","0.215","0.215","0.211","0.211","0.211","0.127","0.127","0.127","0.571","0.571","0.571","0.439","0.439","0.439","0.415","0.415","0.415","0.272","0.272","0.272","0.542","0.542","0.542"
"242","0.192","0.192","0.192","0.208","0.208","0.208","0.086","0.086","0.086","0.578","0.578","0.578","0.426","0.426","0.426","0.409","0.409","0.409","0.255","0.255","0.255","0.515","0.515","0.515"
"243","0.209","0.209","0.209","0.201","0.201","0.201","0.132","0.132","0.132","0.534","0.534","0.534","0.414","0.414","0.414","0.373","0.373","0.373","0.29","0.29","0.29","0.531","0.531","0.531"
"244","0.214","0.214","0.214","0.18","0.18","0.18","0.09","0.09","0.09","0.533","0.533","0.533","0.419","0.419","0.419","0.402","0.402","0.402","0.303","0.303","0.303","0.526","0.526","0.526"
"245","0.212","0.212","0.212","0.215","0.215","0.215","0.07","0.07","0.07","0.506","0.506","0.506","0.435","0.435","0.435","0.445","0.445","0.445","0.244","0.244","0.244","0.536","0.536","0.536"
"246","0.188","0.188","0.188","0.214","0.214","0.214","0.106","0.106","0.106","0.547","0.547","0.547","0.418","0.418","0.418","0.394","0.394","0.394","0.268","0.268","0.268","0.535","0.535","0.535"
"247","0.199","0.199","0.199","0.225","0.225","0.225","0.099","0.099","0.099","0.547","0.547","0.547","0.437","0.437","0.437","0.386","0.386","0.386","0.292","0.292","0.292","0.507","0.507","0.507"
"248","0.214","0.214","0.214","0.217","0.217","0.217","0.095","0.095","0.095","0.533","0.533","0.533","0.414","0.414","0.414","0.422","0.422","0.422","0.282","0.282","0.282","0.522","0.522","0.522"
"249","0.196","0.196","0.196","0.215","0.215","0.215","0.123","0.123","0.123","0.503","0.503","0.503","0.414","0.414","0.414","0.417","0.417","0.417","0.261","0.261","0.261","0.525","0.525","0.525"
"250","0.22","0.22","0.22","0.228","0.228","0.228","0.065","0.065","0.065","0.54","0.54","0.54","0.415","0.415","0.415","0.43","0.43","0.43","0.278","0.278","0.278","0.524","0.524","0.524"
"251","0.227","0.227","0.227","0.204","0.204","0.204","0.091","0.091","0.091","0.542","0.542","0.542","0.454","0.454","0.454","0.403","0.403","0.403","0.24","0.24","0.24","0.526","0.526","0.526"
"252","0.23","0.23","0.23","0.209","0.209","0.209","0.121","0.121","0.121","0.558","0.558","0.558","0.437","0.437","0.437","0.405","0.405","0.405","0.278","0.278","0.278","0.518","0.518","0.518"
"253","0.202","0.202","0.202","0.226","0.226","0.226","0.081","0.081","0.081","0.532","0.532","0.532","0.453","0.453","0.453","0.41","0.41","0.41","0.278","0.278","0.278","0.519","0.519","0.519"
"254","0.217","0.217","0.217","0.199","0.199","0.199","0.107","0.107","0.107","0.57","0.57","0.57","0.453","0.453","0.453","0.406","0.406","0.406","0.275","0.275","0.275","0.545","0.545","0.545"
"255","0.226","0.226","0.226","0.235","0.235","0.235","0.105","0.105","0.105","0.554","0.554","0.554","0.44","0.44","0.44","0.442","0.442","0.442","0.34","0.34","0.34","0.539","0.539","0.539"
"256","0.223","0.223","0.223","0.231","0.231","0.231","0.084","0.084","0.084","0.552","0.552","0.552","0.457","0.457","0.457","0.426","0.426","0.426","0.313","0.313","0.313","0.527","0.527","0.527"
"257","0.205","0.205","0.205","0.219","0.219","0.219","0.115","0.115","0.115","0.541","0.541","0.541","0.439","0.439","0.439","0.42","0.42","0.42","0.248","0.248","0.248","0.522","0.522","0.522"
"258","0.227","0.227","0.227","0.208","0.208","0.208","0.063","0.063","0.063","0.527","0.527","0.527","0.449","0.449","0.449","0.431","0.431","0.431","0.266","0.266","0.266","0.54","0.54","0.54"
"259","0.232","0.232","0.232","0.253","0.253","0.253","0.09","0.09","0.09","0.557","0.557","0.557","0.463","0.463","0.463","0.443","0.443","0.443","0.287","0.287","0.287","0.553","0.553","0.553"
"260","0.235","0.235","0.235","0.231","0.231","0.231","0.145","0.145","0.145","0.544","0.544","0.544","0.467","0.467","0.467","0.434","0.434","0.434","0.229","0.229","0.229","0.567","0.567","0.567"
"261","0.234","0.234","0.234","0.196","0.196","0.196","0.123","0.123","0.123","0.546","0.546","0.546","0.444","0.444","0.444","0.431","0.431","0.431","0.323","0.323","0.323","0.554","0.554","0.554"
"262","0.224","0.224","0.224","0.208","0.208","0.208","0.078","0.078","0.078","0.545","0.545","0.545","0.467","0.467","0.467","0.431","0.431","0.431","0.301","0.301","0.301","0.533","0.533","0.533"
"263","0.218","0.218","0.218","0.213","0.213","0.213","0.102","0.102","0.102","0.55","0.55","0.55","0.427","0.427","0.427","0.426","0.426","0.426","0.353","0.353","0.353","0.545","0.545","0.545"
"264","0.233","0.233","0.233","0.209","0.209","0.209","0.082","0.082","0.082","0.52","0.52","0.52","0.425","0.425","0.425","0.446","0.446","0.446","0.335","0.335","0.335","0.563","0.563","0.563"
"265","0.229","0.229","0.229","0.236","0.236","0.236","0.081","0.081","0.081","0.549","0.549","0.549","0.448","0.448","0.448","0.428","0.428","0.428","0.298","0.298","0.298","0.551","0.551","0.551"
"266","0.246","0.246","0.246","0.244","0.244","0.244","0.118","0.118","0.118","0.569","0.569","0.569","0.443","0.443","0.443","0.43","0.43","0.43","0.359","0.359","0.359","0.547","0.547","0.547"
"267","0.234","0.234","0.234","0.22","0.22","0.22","0.1","0.1","0.1","0.538","0.538","0.538","0.445","0.445","0.445","0.413","0.413","0.413","0.343","0.343","0.343","0.546","0.546","0.546"
"268","0.23","0.23","0.23","0.217","0.217","0.217","0.084","0.084","0.084","0.545","0.545","0.545","0.454","0.454","0.454","0.424","0.424","0.424","0.39","0.39","0.39","0.553","0.553","0.553"
"269","0.224","0.224","0.224","0.251","0.251","0.251","0.106","0.106","0.106","0.538","0.538","0.538","0.448","0.448","0.448","0.472","0.472","0.472","0.327","0.327","0.327","0.549","0.549","0.549"
"270","0.221","0.221","0.221","0.226","0.226","0.226","0.093","0.093","0.093","0.578","0.578","0.578","0.439","0.439","0.439","0.449","0.449","0.449","0.305","0.305","0.305","0.528","0.528","0.528"
"271","0.229","0.229","0.229","0.251","0.251","0.251","0.132","0.132","0.132","0.549","0.549","0.549","0.471","0.471","0.471","0.452","0.452","0.452","0.344","0.344","0.344","0.552","0.552","0.552"
"272","0.216","0.216","0.216","0.228","0.228","0.228","0.099","0.099","0.099","0.538","0.538","0.538","0.444","0.444","0.444","0.443","0.443","0.443","0.289","0.289","0.289","0.523","0.523","0.523"
"273","0.217","0.217","0.217","0.214","0.214","0.214","0.098","0.098","0.098","0.535","0.535","0.535","0.469","0.469","0.469","0.441","0.441","0.441","0.335","0.335","0.335","0.556","0.556","0.556"
"274","0.24","0.24","0.24","0.248","0.248","0.248","0.102","0.102","0.102","0.555","0.555","0.555","0.465","0.465","0.465","0.453","0.453","0.453","0.281","0.281","0.281","0.531","0.531","0.531"
"275","0.206","0.206","0.206","0.233","0.233","0.233","0.115","0.115","0.115","0.548","0.548","0.548","0.46","0.46","0.46","0.457","0.457","0.457","0.308","0.308","0.308","0.559","0.559","0.559"
"276","0.241","0.241","0.241","0.262","0.262","0.262","0.128","0.128","0.128","0.554","0.554","0.554","0.452","0.452","0.452","0.464","0.464","0.464","0.368","0.368","0.368","0.519","0.519","0.519"
"277","0.248","0.248","0.248","0.236","0.236","0.236","0.064","0.064","0.064","0.559","0.559","0.559","0.499","0.499","0.499","0.459","0.459","0.459","0.362","0.362","0.362","0.535","0.535","0.535"
"278","0.243","0.243","0.243","0.227","0.227","0.227","0.091","0.091","0.091","0.562","0.562","0.562","0.467","0.467","0.467","0.442","0.442","0.442","0.355","0.355","0.355","0.534","0.534","0.534"
"279","0.253","0.253","0.253","0.248","0.248","0.248","0.081","0.081","0.081","0.543","0.543","0.543","0.492","0.492","0.492","0.45","0.45","0.45","0.302","0.302","0.302","0.558","0.558","0.558"
"280","0.246","0.246","0.246","0.232","0.232","0.232","0.12","0.12","0.12","0.541","0.541","0.541","0.462","0.462","0.462","0.477","0.477","0.477","0.293","0.293","0.293","0.523","0.523","0.523"
"281","0.256","0.256","0.256","0.265","0.265","0.265","0.103","0.103","0.103","0.547","0.547","0.547","0.472","0.472","0.472","0.474","0.474","0.474","0.295","0.295","0.295","0.553","0.553","0.553"
"282","0.242","0.242","0.242","0.258","0.258","0.258","0.142","0.142","0.142","0.575","0.575","0.575","0.475","0.475","0.475","0.447","0.447","0.447","0.306","0.306","0.306","0.553","0.553","0.553"
"283","0.261","0.261","0.261","0.256","0.256","0.256","0.121","0.121","0.121","0.548","0.548","0.548","0.489","0.489","0.489","0.439","0.439","0.439","0.41","0.41","0.41","0.534","0.534","0.534"
"284","0.241","0.241","0.241","0.243","0.243","0.243","0.078","0.078","0.078","0.551","0.551","0.551","0.476","0.476","0.476","0.434","0.434","0.434","0.321","0.321","0.321","0.513","0.513","0.513"
"285","0.251","0.251","0.251","0.258","0.258","0.258","0.085","0.085","0.085","0.558","0.558","0.558","0.483","0.483","0.483","0.451","0.451","0.451","0.311","0.311","0.311","0.556","0.556","0.556"
"286","0.231","0.231","0.231","0.248","0.248","0.248","0.124","0.124","0.124","0.557","0.557","0.557","0.46","0.46","0.46","0.446","0.446","0.446","0.328","0.328","0.328","0.555","0.555","0.555"
"287","0.225","0.225","0.225","0.26","0.26","0.26","0.12","0.12","0.12","0.545","0.545","0.545","0.472","0.472","0.472","0.459","0.459","0.459","0.283","0.283","0.283","0.534","0.534","0.534"
"288","0.255","0.255","0.255","0.257","0.257","0.257","0.107","0.107","0.107","0.551","0.551","0.551","0.456","0.456","0.456","0.449","0.449","0.449","0.33","0.33","0.33","0.49","0.49","0.49"
"289","0.251","0.251","0.251","0.244","0.244","0.244","0.092","0.092","0.092","0.543","0.543","0.543","0.477","0.477","0.477","0.471","0.471","0.471","0.367","0.367","0.367","0.517","0.517","0.517"
"290","0.275","0.275","0.275","0.24","0.24","0.24","0.098","0.098","0.098","0.551","0.551","0.551","0.486","0.486","0.486","0.436","0.436","0.436","0.373","0.373","0.373","0.53","0.53","0.53"
"291","0.254","0.254","0.254","0.251","0.251","0.251","0.13","0.13","0.13","0.56","0.56","0.56","0.484","0.484","0.484","0.454","0.454","0.454","0.349","0.349","0.349","0.49","0.49","0.49"
"292","0.262","0.262","0.262","0.243","0.243","0.243","0.099","0.099","0.099","0.568","0.568","0.568","0.523","0.523","0.523","0.467","0.467","0.467","0.344","0.344","0.344","0.503","0.503","0.503"
"293","0.24","0.24","0.24","0.244","0.244","0.244","0.079","0.079","0.079","0.563","0.563","0.563","0.503","0.503","0.503","0.446","0.446","0.446","0.327","0.327","0.327","0.548","0.548","0.548"
"294","0.276","0.276","0.276","0.269","0.269","0.269","0.129","0.129","0.129","0.564","0.564","0.564","0.484","0.484","0.484","0.472","0.472","0.472","0.388","0.388","0.388","0.539","0.539","0.539"
"295","0.256","0.256","0.256","0.252","0.252","0.252","0.106","0.106","0.106","0.549","0.549","0.549","0.488","0.488","0.488","0.454","0.454","0.454","0.397","0.397","0.397","0.545","0.545","0.545"
"296","0.262","0.262","0.262","0.264","0.264","0.264","0.126","0.126","0.126","0.584","0.584","0.584","0.464","0.464","0.464","0.441","0.441","0.441","0.303","0.303","0.303","0.515","0.515","0.515"
"297","0.243","0.243","0.243","0.265","0.265","0.265","0.106","0.106","0.106","0.547","0.547","0.547","0.462","0.462","0.462","0.466","0.466","0.466","0.386","0.386","0.386","0.529","0.529","0.529"
"298","0.264","0.264","0.264","0.258","0.258","0.258","0.105","0.105","0.105","0.561","0.561","0.561","0.475","0.475","0.475","0.433","0.433","0.433","0.278","0.278","0.278","0.529","0.529","0.529"
"299","0.284","0.284","0.284","0.251","0.251","0.251","0.117","0.117","0.117","0.534","0.534","0.534","0.48","0.48","0.48","0.466","0.466","0.466","0.395","0.395","0.395","0.534","0.534","0.534"
"300","0.268","0.268","0.268","0.279","0.279","0.279","0.105","0.105","0.105","0.55","0.55","0.55","0.49","0.49","0.49","0.461","0.461","0.461","0.314","0.314","0.314","0.542","0.542","0.542"
"301","0.244","0.244","0.244","0.269","0.269","0.269","0.074","0.074","0.074","0.562","0.562","0.562","0.468","0.468","0.468","0.44","0.44","0.44","0.312","0.312","0.312","0.537","0.537","0.537"
"302","0.23","0.23","0.23","0.285","0.285","0.285","0.121","0.121","0.121","0.559","0.559","0.559","0.498","0.498","0.498","0.474","0.474","0.474","0.333","0.333","0.333","0.557","0.557","0.557"
"303","0.261","0.261","0.261","0.275","0.275","0.275","0.103","0.103","0.103","0.535","0.535","0.535","0.471","0.471","0.471","0.453","0.453","0.453","0.342","0.342","0.342","0.562","0.562","0.562"
"304","0.273","0.273","0.273","0.271","0.271","0.271","0.121","0.121","0.121","0.541","0.541","0.541","0.493","0.493","0.493","0.451","0.451","0.451","0.35","0.35","0.35","0.537","0.537","0.537"
"305","0.288","0.288","0.288","0.253","0.253","0.253","0.117","0.117","0.117","0.571","0.571","0.571","0.476","0.476","0.476","0.45","0.45","0.45","0.314","0.314","0.314","0.523","0.523","0.523"
"306","0.266","0.266","0.266","0.286","0.286","0.286","0.094","0.094","0.094","0.545","0.545","0.545","0.482","0.482","0.482","0.488","0.488","0.488","0.33","0.33","0.33","0.524","0.524","0.524"
"307","0.269","0.269","0.269","0.267","0.267","0.267","0.104","0.104","0.104","0.54","0.54","0.54","0.497","0.497","0.497","0.48","0.48","0.48","0.421","0.421","0.421","0.525","0.525","0.525"
"308","0.275","0.275","0.275","0.247","0.247","0.247","0.117","0.117","0.117","0.52","0.52","0.52","0.48","0.48","0.48","0.463","0.463","0.463","0.33","0.33","0.33","0.574","0.574","0.574"
"309","0.258","0.258","0.258","0.258","0.258","0.258","0.129","0.129","0.129","0.549","0.549","0.549","0.487","0.487","0.487","0.467","0.467","0.467","0.371","0.371","0.371","0.51","0.51","0.51"
"310","0.271","0.271","0.271","0.27","0.27","0.27","0.113","0.113","0.113","0.538","0.538","0.538","0.455","0.455","0.455","0.461","0.461","0.461","0.41","0.41","0.41","0.503","0.503","0.503"
"311","0.238","0.238","0.238","0.284","0.284","0.284","0.091","0.091","0.091","0.544","0.544","0.544","0.467","0.467","0.467","0.48","0.48","0.48","0.296","0.296","0.296","0.55","0.55","0.55"
"312","0.257","0.257","0.257","0.284","0.284","0.284","0.097","0.097","0.097","0.563","0.563","0.563","0.517","0.517","0.517","0.459","0.459","0.459","0.398","0.398","0.398","0.538","0.538","0.538"
"313","0.252","0.252","0.252","0.28","0.28","0.28","0.156","0.156","0.156","0.549","0.549","0.549","0.489","0.489","0.489","0.487","0.487","0.487","0.372","0.372","0.372","0.542","0.542","0.542"
"314","0.264","0.264","0.264","0.302","0.302","0.302","0.1","0.1","0.1","0.571","0.571","0.571","0.498","0.498","0.498","0.529","0.529","0.529","0.371","0.371","0.371","0.538","0.538","0.538"
"315","0.261","0.261","0.261","0.311","0.311","0.311","0.099","0.099","0.099","0.561","0.561","0.561","0.509","0.509","0.509","0.506","0.506","0.506","0.387","0.387","0.387","0.524","0.524","0.524"
"316","0.271","0.271","0.271","0.259","0.259","0.259","0.154","0.154","0.154","0.547","0.547","0.547","0.499","0.499","0.499","0.476","0.476","0.476","0.317","0.317","0.317","0.544","0.544","0.544"
"317","0.278","0.278","0.278","0.276","0.276","0.276","0.092","0.092","0.092","0.55","0.55","0.55","0.502","0.502","0.502","0.474","0.474","0.474","0.394","0.394","0.394","0.517","0.517","0.517"
"318","0.269","0.269","0.269","0.287","0.287","0.287","0.113","0.113","0.113","0.547","0.547","0.547","0.498","0.498","0.498","0.449","0.449","0.449","0.325","0.325","0.325","0.546","0.546","0.546"
"319","0.283","0.283","0.283","0.308","0.308","0.308","0.112","0.112","0.112","0.569","0.569","0.569","0.5","0.5","0.5","0.455","0.455","0.455","0.368","0.368","0.368","0.539","0.539","0.539"
"320","0.292","0.292","0.292","0.267","0.267","0.267","0.151","0.151","0.151","0.542","0.542","0.542","0.511","0.511","0.511","0.453","0.453","0.453","0.315","0.315","0.315","0.504","0.504","0.504"
"321","0.259","0.259","0.259","0.295","0.295","0.295","0.098","0.098","0.098","0.554","0.554","0.554","0.497","0.497","0.497","0.456","0.456","0.456","0.401","0.401","0.401","0.55","0.55","0.55"
"322","0.252","0.252","0.252","0.276","0.276","0.276","0.143","0.143","0.143","0.544","0.544","0.544","0.489","0.489","0.489","0.482","0.482","0.482","0.354","0.354","0.354","0.553","0.553","0.553"
"323","0.251","0.251","0.251","0.283","0.283","0.283","0.121","0.121","0.121","0.545","0.545","0.545","0.503","0.503","0.503","0.483","0.483","0.483","0.448","0.448","0.448","0.538","0.538","0.538"
"324","0.277","0.277","0.277","0.286","0.286","0.286","0.128","0.128","0.128","0.519","0.519","0.519","0.463","0.463","0.463","0.454","0.454","0.454","0.385","0.385","0.385","0.514","0.514","0.514"
"325","0.27","0.27","0.27","0.267","0.267","0.267","0.146","0.146","0.146","0.545","0.545","0.545","0.498","0.498","0.498","0.475","0.475","0.475","0.332","0.332","0.332","0.498","0.498","0.498"
"326","0.245","0.245","0.245","0.273","0.273","0.273","0.16","0.16","0.16","0.575","0.575","0.575","0.501","0.501","0.501","0.452","0.452","0.452","0.334","0.334","0.334","0.528","0.528","0.528"
"327","0.279","0.279","0.279","0.304","0.304","0.304","0.152","0.152","0.152","0.549","0.549","0.549","0.502","0.502","0.502","0.463","0.463","0.463","0.353","0.353","0.353","0.537","0.537","0.537"
"328","0.279","0.279","0.279","0.3","0.3","0.3","0.139","0.139","0.139","0.555","0.555","0.555","0.525","0.525","0.525","0.467","0.467","0.467","0.401","0.401","0.401","0.541","0.541","0.541"
"329","0.279","0.279","0.279","0.303","0.303","0.303","0.142","0.142","0.142","0.54","0.54","0.54","0.49","0.49","0.49","0.468","0.468","0.468","0.369","0.369","0.369","0.534","0.534","0.534"
"330","0.295","0.295","0.295","0.295","0.295","0.295","0.145","0.145","0.145","0.543","0.543","0.543","0.487","0.487","0.487","0.484","0.484","0.484","0.368","0.368","0.368","0.526","0.526","0.526"
"331","0.266","0.266","0.266","0.316","0.316","0.316","0.114","0.114","0.114","0.52","0.52","0.52","0.523","0.523","0.523","0.509","0.509","0.509","0.392","0.392","0.392","0.578","0.578","0.578"
"332","0.274","0.274","0.274","0.33","0.33","0.33","0.181","0.181","0.181","0.561","0.561","0.561","0.505","0.505","0.505","0.506","0.506","0.506","0.395","0.395","0.395","0.551","0.551","0.551"
"333","0.271","0.271","0.271","0.265","0.265","0.265","0.14","0.14","0.14","0.542","0.542","0.542","0.512","0.512","0.512","0.446","0.446","0.446","0.422","0.422","0.422","0.544","0.544","0.544"
"334","0.274","0.274","0.274","0.305","0.305","0.305","0.144","0.144","0.144","0.554","0.554","0.554","0.506","0.506","0.506","0.472","0.472","0.472","0.326","0.326","0.326","0.51","0.51","0.51"
"335","0.261","0.261","0.261","0.319","0.319","0.319","0.153","0.153","0.153","0.553","0.553","0.553","0.515","0.515","0.515","0.493","0.493","0.493","0.391","0.391","0.391","0.564","0.564","0.564"
"336","0.288","0.288","0.288","0.293","0.293","0.293","0.178","0.178","0.178","0.541","0.541","0.541","0.485","0.485","0.485","0.523","0.523","0.523","0.405","0.405","0.405","0.548","0.548","0.548"
"337","0.274","0.274","0.274","0.303","0.303","0.303","0.138","0.138","0.138","0.561","0.561","0.561","0.508","0.508","0.508","0.497","0.497","0.497","0.428","0.428","0.428","0.514","0.514","0.514"
"338","0.273","0.273","0.273","0.314","0.314","0.314","0.139","0.139","0.139","0.532","0.532","0.532","0.501","0.501","0.501","0.495","0.495","0.495","0.4","0.4","0.4","0.55","0.55","0.55"
"339","0.279","0.279","0.279","0.309","0.309","0.309","0.163","0.163","0.163","0.541","0.541","0.541","0.485","0.485","0.485","0.515","0.515","0.515","0.384","0.384","0.384","0.525","0.525","0.525"
"340","0.279","0.279","0.279","0.274","0.274","0.274","0.095","0.095","0.095","0.54","0.54","0.54","0.516","0.516","0.516","0.473","0.473","0.473","0.366","0.366","0.366","0.538","0.538","0.538"
"341","0.293","0.293","0.293","0.283","0.283","0.283","0.144","0.144","0.144","0.55","0.55","0.55","0.505","0.505","0.505","0.48","0.48","0.48","0.373","0.373","0.373","0.567","0.567","0.567"
"342","0.316","0.316","0.316","0.292","0.292","0.292","0.107","0.107","0.107","0.555","0.555","0.555","0.488","0.488","0.488","0.481","0.481","0.481","0.335","0.335","0.335","0.532","0.532","0.532"
"343","0.31","0.31","0.31","0.295","0.295","0.295","0.183","0.183","0.183","0.539","0.539","0.539","0.505","0.505","0.505","0.505","0.505","0.505","0.399","0.399","0.399","0.568","0.568","0.568"
"344","0.294","0.294","0.294","0.31","0.31","0.31","0.129","0.129","0.129","0.557","0.557","0.557","0.528","0.528","0.528","0.486","0.486","0.486","0.405","0.405","0.405","0.545","0.545","0.545"
"345","0.283","0.283","0.283","0.319","0.319","0.319","0.177","0.177","0.177","0.56","0.56","0.56","0.492","0.492","0.492","0.497","0.497","0.497","0.35","0.35","0.35","0.533","0.533","0.533"
"346","0.296","0.296","0.296","0.312","0.312","0.312","0.16","0.16","0.16","0.557","0.557","0.557","0.494","0.494","0.494","0.524","0.524","0.524","0.42","0.42","0.42","0.514","0.514","0.514"
